text,clean_text,tokens,is_manglish_data,code_mixed,manglish_score,emotion_label,secondary_emotion,emotion_scores
Patutla dia suruh salahkan dia sebab dia masuk that perigi to be rescued 😭,patutla dia suruh salahkan dia sebab dia masuk that perigi to be rescued,patutla dia suruh salahkan dia sebab dia masuk that perigi to be rescued,True,True,2,neutral,,{}
"Ibu bukan manusia yang sempurna, tetapi kasih sayang dia selalu cukup untuk semua. Bila dunia tak faham kita, ibu tetap menjadi orang yang pertama memeluk kita tanpa banyak soal. Dan disebalik anak yang tenang, ada ibu yang setiap hari berjuang dalam senyap. Setinggi dan sejauh mana pun kita pergi, doa ibu tetap menjadi sebab kita masih kuat berdiri 🫶🏻 hugs to all mothers out there, kuat semangat ya ibu ❤️",ibu bukan manusia yang sempurna tetapi kasih sayang dia selalu cukup untuk semua bila dunia tak faham kita ibu tetap menjadi orang yang pertama memeluk kita tanpa banyak soal dan disebalik anak yang tenang ada ibu yang setiap hari berjuang dalam senyap setinggi dan sejauh mana pun kita pergi doa ibu tetap menjadi sebab kita masih kuat berdiri hugs to all mothers out there kuat semangat ya ibu,ibu bukan manusia yang sempurna tetapi kasih sayang dia selalu cukup untuk semua bila dunia tak faham kita ibu tetap menjadi orang yang pertama memeluk kita tanpa banyak soal dan disebalik anak yang tenang ada ibu yang setiap hari berjuang dalam senyap setinggi dan sejauh mana pun kita pergi doa ibu tetap menjadi sebab kita masih kuat berdiri hugs to all mothers out there kuat semangat ya ibu,True,True,15,love,joy,"{""joy"": 1, ""love"": 2}"
Biggest FOMO yg worth it gila! Bukan sbb spacious boleh sumbat byk brg  but tgok laaa comel gila!!!,biggest fomo yang worth it gila bukan sbb spacious boleh sumbat byk brg but tgok laa comel gila,biggest fomo yang worth it gila bukan sbb spacious boleh sumbat byk brg but tgok laa comel gila,True,True,4,joy,,"{""joy"": 1}"
bukan ke kita kena beratur according this triangle so that passengers can exit the train through? kan…. WHY 🗣️ DO PEOPLE 🗣️STILL STAND 🗣️ IN THE MIDDLE 🗣️ OF THE WAY 🗣️,bukan ke kita kena beratur according this triangle so that passengers can exit the train through kan why do people still stand in the middle of the way,bukan ke kita kena beratur according this triangle so that passengers can exit the train through kan why do people still stand in the middle of the way,True,True,3,neutral,,{}
"Dear annajobling , I baru missing event you sekali dua and she said, ‘Lamanya tak jumpa, ingatkan tak nak jumpa I dah’ 🥹🤏🏻 Okay this is too cute for me. Manjaaah kali ini Anna 🥹🫶🏻🤍❤️🥰",dear annajobling i baru missing event you sekali dua and she said lamanya tak jumpa ingatkan tak nak jumpa i dah' okay this is too cute for me manjaah kali ini anna,dear annajobling i baru missing event you sekali dua and she said lamanya tak jumpa ingatkan tak nak jumpa i dah okay this is too cute for me manjaah kali ini anna,True,True,4,love,sadness,"{""love"": 1, ""sadness"": 1}"
lovee gila dgn thermal bag Mixue niii 🤩 jangan tekejuttt tau kalau order delivery tapi dapat kualiti mcm dine-in 🫣 thermal bag mixue ni functionnnn weh !!,lovee gila dengan thermal bag mixue nii jangan tekejutt tau kalau order delivery tapi dapat kualiti mcm dine in thermal bag mixue ni functionn weh,lovee gila dengan thermal bag mixue nii jangan tekejutt tau kalau order delivery tapi dapat kualiti mcm dine in thermal bag mixue ni functionn weh,True,True,6,neutral,,{}
The only gedik we approve ✅,the only gedik we approve,the only gedik we approve,True,True,1,neutral,,{}
"dont waste your youth, we will never at this age again. gain knowledge as much as u can, do whatever that make money, learn from mistake and grow.",don't waste your youth we will never at this age again gain knowledge as much as you can do whatever that make money learn from mistake and grow,don't waste your youth we will never at this age again gain knowledge as much as you can do whatever that make money learn from mistake and grow,True,True,1,neutral,,{}
tidur lepas nangis is when everything finally goes silent .,tidur lepas nangis is when everything finally goes silent,tidur lepas nangis is when everything finally goes silent,True,True,1,neutral,,{}
"Please jangan samakan couple life and married life, its two completely different stage in life.",please jangan samakan couple life and married life its two completely different stage in life,please jangan samakan couple life and married life its two completely different stage in life,True,True,1,love,,"{""love"": 1}"
Finally found a baju kurung rental in Selayang ! 🥹🤍,finally found a baju kurung rental in selayang,finally found a baju kurung rental in selayang,True,True,1,neutral,,{}
"SUMPAH I CAKAP GRUMPY BAGELS NI WORTH THE HYPEEE, SEDAP SANGAT SANGAT!! cuma waiting queue je 2 hours 🥹🥹🥹",sumpah i cakap grumpy bagels ni worth the hypee sedap sangat sangat cuma waiting queue je 2 hours,sumpah i cakap grumpy bagels ni worth the hypee sedap sangat sangat cuma waiting queue je 2 hours,True,True,4,neutral,,{}
"dia yg tanak teruskan, the end ☺️
tapi ni bukan tentang streak.",dia yang tanak teruskan the end tapi ni bukan tentang streak,dia yang tanak teruskan the end tapi ni bukan tentang streak,True,True,5,neutral,,{}
"hi i nak letgo my camera canon m10, dapat fullset inc sd card rm 1650 (srs buyer only) 💓",hi i nak letgo my camera canon m10 dapat fullset inc sd card rm 1650 srs buyer only,hi i nak letgo my camera canon m10 dapat fullset inc sd card rm 1650 srs buyer only,True,True,1,neutral,,{}
"Pasar seni dari rumah 15minit je by LRT but still takda masa nak pergi, so kalini ada masa kita jalan2 area pasar seni and banyak dh berubah 💐🌸 🍵",pasar seni dari rumah 15minit je by lrt but still takda masa nak pergi so kalini ada masa kita jalan2 area pasar seni and banyak dh berubah,pasar seni dari rumah 15minit je by lrt but still takda masa nak pergi so kalini ada masa kita jalan2 area pasar seni and banyak dh berubah,True,True,5,neutral,,{}
Tidak mengecewakan — for me 🤍,tidak mengecewakan for me,tidak mengecewakan for me,True,True,1,neutral,,{}
i wish dapat family mertua and adik beradik ipar yang baik,i wish dapat family mertua and adik beradik ipar yang baik,i wish dapat family mertua and adik beradik ipar yang baik,True,True,2,neutral,,{}
Date cancel. Dia tak understand how current issues and politics affect our daily lives.,date cancel dia tak understand how current issues and politics affect our daily lives,date cancel dia tak understand how current issues and politics affect our daily lives,True,True,2,anger,,"{""anger"": 1}"
Oh baru tahu rupanya ada the right steps untuk dapat makeup smooth macam niiiii,oh baru tahu rupanya ada the right steps untuk dapat makeup smooth macam nii,oh baru tahu rupanya ada the right steps untuk dapat makeup smooth macam nii,True,True,2,neutral,,{}
"girls, dont be too independent ya. kami tak suka",girls don't be too independent ya kami tak suka,girls don't be too independent ya kami tak suka,True,True,2,anger,,"{""anger"": 2}"
"hola peeps.. happy mothers day
kek mothers day harini dah readystock 
1) Victoria Sandwich Cake 5"" RM70
2) Carrot Pecan Praline 5"" RM70
6-8 servings
boleh book cepat2 ya / terus walk in beli",hola peeps happy mothers day kek mothers day harini dah readystock 1 victoria sandwich cake 5 rm70 2 carrot pecan praline 5 rm70 6 8 servings boleh book cepat2 ya terus walk in beli,hola peeps happy mothers day kek mothers day harini dah readystock 1 victoria sandwich cake 5 rm70 2 carrot pecan praline 5 rm70 6 8 servings boleh book cepat2 ya terus walk in beli,True,True,3,joy,,"{""joy"": 1}"
The best Mother’s Day gift 🎁 since 2022…. Successfully weaning my 3 y/o off of breastfeeding. I’ve been trying for 2 years and this week we finally did it !!!! THANK YOU GOD !!!,the best mother's day gift since 2022 successfully weaning my 3 y o off of breastfeeding i've been trying for 2 years and this week we finally did it thank you god,the best mother's day gift since 2022 successfully weaning my 3 y o off of breastfeeding i've been trying for 2 years and this week we finally did it thank you god,True,True,1,joy,,"{""joy"": 1}"
YOUTUBE DAH BOLEH PLAY IN BACKGROUND WITHOUT SUBSCRIBE PREMIUM??!!!,youtube dah boleh play in background without subscribe premium,youtube dah boleh play in background without subscribe premium,True,True,2,neutral,,{}
"Roti Bakar Oriental Kopi ni sama je macam roti biasa tu. Tapi yang special tu, kaya dia. Korang kena rasa sendiri. Sedap dia buat i teringat-ingat. Pandai dia balance rasa lemak manis dia rasa macam orang lama buat. Betul ke dia claim ni kaya homemade eh?",roti bakar oriental kopi ni sama je macam roti biasa tu tapi yang special tu kaya dia korang kena rasa sendiri sedap dia buat i teringat ingat pandai dia balance rasa lemak manis dia rasa macam orang lama buat betul ke dia claim ni kaya homemade eh,roti bakar oriental kopi ni sama je macam roti biasa tu tapi yang special tu kaya dia korang kena rasa sendiri sedap dia buat i teringat ingat pandai dia balance rasa lemak manis dia rasa macam orang lama buat betul ke dia claim ni kaya homemade eh,True,True,10,neutral,,{}
"Girls, kalau rambut tengah gugur teruk sampai nampak nipis/botak tu, pause dulu niat nak pergi salon 😭 sayang duit nanti beratus habis. Better try yang ni dulu, anak rambut cepat naik lebat siap doctor pun recommend. i pun dah cuba sendiri, tengok lah before after memang nampak beza.",girls kalau rambut tengah gugur teruk sampai nampak nipis botak tu pause dulu niat nak pergi salon sayang duit nanti beratus habis better try yang ni dulu anak rambut cepat naik lebat siap doctor pun recommend i pun dah cuba sendiri tengok lah before after memang nampak beza,girls kalau rambut tengah gugur teruk sampai nampak nipis botak tu pause dulu niat nak pergi salon sayang duit nanti beratus habis better try yang ni dulu anak rambut cepat naik lebat siap doctor pun recommend i pun dah cuba sendiri tengok lah before after memang nampak beza,True,True,9,love,sadness,"{""love"": 1, ""sadness"": 1}"
Stop chasing someone yang you rasa you memang tak akan boleh dapat. Trust your instinct.,stop chasing someone yang you rasa you memang tak akan boleh dapat trust your instinct,stop chasing someone yang you rasa you memang tak akan boleh dapat trust your instinct,True,True,3,neutral,,{}
"customer : cik boleh mintak QR?
me : boleh nah
customer : Lahaulawalakuwataillah",customer cik boleh mintak qr me boleh nah customer lahaulawalakuwataillah,customer cik boleh mintak qr me boleh nah customer lahaulawalakuwataillah,True,True,1,neutral,,{}
"Satu benda aku baru perasan pasal siri Good Boys Go To Heaven ni, kat Netflix hanya dinyatakan siri ini mempunyai 5 episod. Sedangkan melalui laman Astro, siri ini sebenarnya mempunyai 8 episod total.",satu benda aku baru perasan pasal siri good boys go to heaven ni kat netflix hanya dinyatakan siri ini mempunyai 5 episod sedangkan melalui laman astro siri ini sebenarnya mempunyai 8 episod total,satu benda aku baru perasan pasal siri good boys go to heaven ni kat netflix hanya dinyatakan siri ini mempunyai 5 episod sedangkan melalui laman astro siri ini sebenarnya mempunyai 8 episod total,True,True,4,neutral,,{}
"0814 scan for que number, 0842 number kena panggil. Grumpy Bagels ni every inch in the cafe photo-worthy and aesthetically pleasing",0814 scan for que number 0842 number kena panggil grumpy bagels ni every inch in the cafe photo worthy and aesthetically pleasing,0814 scan for que number 0842 number kena panggil grumpy bagels ni every inch in the cafe photo worthy and aesthetically pleasing,True,True,1,neutral,,{}
"Ok all done! Ahhh pening nya plan birthday celebration anakku sorang2 but alhamdulillah everything went well! Tomorrow’s the day! Moga di permudahkan esok and if hujan, moga comei2 je🥹🙏🏻 aminn!",ok all done ahh pening nya plan birthday celebration anakku sorang2 but alhamdulillah everything went well tomorrow's the day moga di permudahkan esok and if hujan moga comei2 je aminn,ok all done ahh pening nya plan birthday celebration anakku sorang2 but alhamdulillah everything went well tomorrow's the day moga di permudahkan esok and if hujan moga comei2 je aminn,True,True,1,joy,,"{""joy"": 1}"
Go go go run! Tinggal kan i satu piece tau polka dot skirt white tu 😂,go go go run tinggal kan i satu piece tau polka dot skirt white tu,go go go run tinggal kan i satu piece tau polka dot skirt white tu,True,True,2,neutral,,{}
"after few times ulang alik CU mart cari dubai chewy choc finally decided untuk pegi cafe terus, overall 8/10 for the dubai chewy choc and ada banyak lagi dessert ii yang lain 🥹🫶🏻",after few times ulang alik cu mart cari dubai chewy choc finally decided untuk pegi cafe terus overall 8 10 for the dubai chewy choc and ada banyak lagi dessert ii yang lain,after few times ulang alik cu mart cari dubai chewy choc finally decided untuk pegi cafe terus overall 8 10 for the dubai chewy choc and ada banyak lagi dessert ii yang lain,True,True,3,neutral,,{}
Siapa yang suka redeem free stuff for birthday reward tu bolehlah pergi 😆,siapa yang suka redeem free stuff for birthday reward tu bolehlah pergi,siapa yang suka redeem free stuff for birthday reward tu bolehlah pergi,True,True,3,neutral,,{}
Siapa tahu nugget and fries GSC ni brand apa???? Addictednya 🤤🤤🤤 Fries pun sedapppppp sampai ambil pula ala carte!!! 😭,siapa tahu nugget and fries gsc ni brand apa addictednya fries pun sedapp sampai ambil pula ala carte,siapa tahu nugget and fries gsc ni brand apa addictednya fries pun sedapp sampai ambil pula ala carte,True,True,3,neutral,,{}
"date cancelled, dia suruh beli floss and ajar dia cara floss gigi",date cancelled dia suruh beli floss and ajar dia cara floss gigi,date cancelled dia suruh beli floss and ajar dia cara floss gigi,True,True,1,neutral,,{}
"kenapa allah cipta sifat mudah kesian dekat i, i pun nak buat jahat macam mana orang jahat dengan i .",kenapa allah cipta sifat mudah kesian dekat i i pun nak buat jahat macam mana orang jahat dengan i,kenapa allah cipta sifat mudah kesian dekat i i pun nak buat jahat macam mana orang jahat dengan i,True,True,8,neutral,,{}
we open everyday from 0700-2200 (closed on Monday) 😍 that’s on paper usually will finish awal! per day we will consistently make around 15-20 partybox so first come first serve tau!😍😍😍,we open everyday from 0700 2200 closed on monday that's on paper usually will finish awal per day we will consistently make around 15 20 partybox so first come first serve tau,we open everyday from 0700 2200 closed on monday that's on paper usually will finish awal per day we will consistently make around 15 20 partybox so first come first serve tau,True,True,1,neutral,,{}
He treats me so well sampai I tak sedar rupanya selama ni dia menipu and curang belakang I with his ex,he treats me so well sampai i tak sedar rupanya selama ni dia menipu and curang belakang i with his ex,he treats me so well sampai i tak sedar rupanya selama ni dia menipu and curang belakang i with his ex,True,True,3,neutral,,{}
"Yes, tapi bukan keeper bola tau.
Tapi keeper as in “Keep Her”",yes tapi bukan keeper bola tau tapi keeper as in keep her,yes tapi bukan keeper bola tau tapi keeper as in keep her,True,True,2,neutral,,{}
"kalau dah tak boleh jumpa, busy, the least you could do is text and call your partner. bukan biar je takde khabar berita, buat macam ada takde",kalau dah tak boleh jumpa busy the least you could do is text and call your partner bukan biar je tak ada khabar berita buat macam ada tak ada,kalau dah tak boleh jumpa busy the least you could do is text and call your partner bukan biar je tak ada khabar berita buat macam ada tak ada,True,True,7,neutral,,{}
Bubur nasi another level in Melawati guys 😭 Ada ke org yg tk thu… tolong la jgn viralkn nnti kena beratur 😭,bubur nasi another level in melawati guys ada ke org yang tk thu tolong la jgn viralkn nnti kena beratur,bubur nasi another level in melawati guys ada ke org yang tk thu tolong la jgn viralkn nnti kena beratur,True,True,2,neutral,,{}
"First time rasa sushi taco. Serius sedap! Ranggup dia punya luar tu, i beli salmon and ebi tempura memang sedap 🤏🏻",first time rasa sushi taco serius sedap ranggup dia punya luar tu i beli salmon and ebi tempura memang sedap,first time rasa sushi taco serius sedap ranggup dia punya luar tu i beli salmon and ebi tempura memang sedap,True,True,2,neutral,,{}
"Driver rapid on demand tiba² marah aku. Masuk² je dia kata, ""Kenapa awak book dari sini? Tau tak susah saya nak masuk sini, buang masa tau nak masuk sini""",driver rapid on demand tiba marah aku masuk je dia kata kenapa awak book dari sini tau tak susah saya nak masuk sini buang masa tau nak masuk sini,driver rapid on demand tiba marah aku masuk je dia kata kenapa awak book dari sini tau tak susah saya nak masuk sini buang masa tau nak masuk sini,True,True,9,anger,,"{""anger"": 1}"
stop do layan orang macam orang lain takde perasaan,stop do layan orang macam orang lain tak ada perasaan,stop do layan orang macam orang lain tak ada perasaan,True,True,2,neutral,,{}
"Lawa betul design cartier ni , luxury and expensive teruk",lawa betul design cartier ni luxury and expensive teruk,lawa betul design cartier ni luxury and expensive teruk,True,True,3,sadness,,"{""sadness"": 1}"
"Kepada isteri isteri, kalau suami kena kerja on weekend jangan marah2. Senyum jee tau, nanti dia happy dia bawak laa kita pi makan sesedap lepas balik kerja🤭🫶",kepada isteri isteri kalau suami kena kerja on weekend jangan marah2 senyum jee tau nanti dia happy dia bawak laa kita pi makan sesedap lepas balik kerja,kepada isteri isteri kalau suami kena kerja on weekend jangan marah2 senyum jee tau nanti dia happy dia bawak laa kita pi makan sesedap lepas balik kerja,True,True,6,joy,,"{""joy"": 1}"
"once dia jadi boyfriend i. he’s not your ex, your scandal, your hts or whatever anymore. please respect our relationship.",once dia jadi boyfriend i he's not your ex your scandal your hts or whatever anymore please respect our relationship,once dia jadi boyfriend i he's not your ex your scandal your hts or whatever anymore please respect our relationship,True,True,1,neutral,,{}
"PATUT LAA RAMAI YANG SUGGEST 
In just 7 days, redness kat dahi tu slowly pudar weh 😳 dia soothing and calmkan skin also repair skin barrier 🫶🏻",patut laa ramai yang suggest in just 7 days redness kat dahi tu slowly pudar weh dia soothing and calmkan skin also repair skin barrier,patut laa ramai yang suggest in just 7 days redness kat dahi tu slowly pudar weh dia soothing and calmkan skin also repair skin barrier,True,True,4,neutral,,{}
"I notice perempuan cantik diorang tak gatekeep, yang suka gatekeep ni selalunya yang perasan cantik 😭",i notice perempuan cantik diorang tak gatekeep yang suka gatekeep ni selalunya yang perasan cantik,i notice perempuan cantik diorang tak gatekeep yang suka gatekeep ni selalunya yang perasan cantik,True,True,4,joy,,"{""joy"": 1}"
"Mochi bites bake by mel sumpah sedapp wehh, i beli yang strawberryyy lembut dooh. Dubai chewy cookie tkyh ckp mmg sedappp gilaa 🤪",mochi bites bake by mel sumpah sedapp wehh i beli yang strawberryy lembut dooh dubai chewy cookie tkyh ckp mmg sedapp gilaa,mochi bites bake by mel sumpah sedapp wehh i beli yang strawberryy lembut dooh dubai chewy cookie tkyh ckp mmg sedapp gilaa,True,True,1,neutral,,{}
"Mummies, harini mothers day. Pergi la beli cream cheese roasted milk tea dekat tealive. Tak pun, iced double chocolate with cream crown kat coffee bean.",mummies harini mothers day pergi la beli cream cheese roasted milk tea dekat tealive tak pun iced double chocolate with cream crown kat coffee bean,mummies harini mothers day pergi la beli cream cheese roasted milk tea dekat tealive tak pun iced double chocolate with cream crown kat coffee bean,True,True,4,neutral,,{}
I memang attracted dengan educated people tapi make sure IQ & EQ dia seimbang .,i memang attracted dengan educated people tapi make sure iq eq dia seimbang,i memang attracted dengan educated people tapi make sure iq eq dia seimbang,True,True,3,neutral,,{}
"penatla jadi cantik ni, kadang kadang taktahu nak jadi apa. nak jadi princess ke nak jadi your wife.",penatla jadi cantik ni kadang kadang taktahu nak jadi apa nak jadi princess ke nak jadi your wife,penatla jadi cantik ni kadang kadang taktahu nak jadi apa nak jadi princess ke nak jadi your wife,True,True,2,joy,,"{""joy"": 1}"
"Congratulations!!!🎉🎓 to our daughter Kendra on receiving her Masters Degree. We are Super Proud of her! One of my best Mother’s Day gifts 🎁, to see your offsprings blossom is one of the greatest joys of Motherhood🌹",congratulations to our daughter kendra on receiving her masters degree we are super proud of her one of my best mother's day gifts to see your offsprings blossom is one of the greatest joys of motherhood,congratulations to our daughter kendra on receiving her masters degree we are super proud of her one of my best mother's day gifts to see your offsprings blossom is one of the greatest joys of motherhood,True,True,1,joy,,"{""joy"": 1}"
hi harini ada any bouquet or something gift for mother day yang available tak ? area gombak,hi harini ada any bouquet or something gift for mother day yang available tak area gombak,hi harini ada any bouquet or something gift for mother day yang available tak area gombak,True,True,2,neutral,,{}
"Arwah mak ajak tengok cerita ni kt wayang kite layan dia tengok wayang cerita ni.. mak ckp cerita ni ada kene mengene dgn mak, and dia kata “Tak ada orang tua nak tengok anak mereka pergi dulu dari mereka”. Tapi takdir Allah jemput arwah kakak saya dulu sebab kemalangan naik moto besar.. Saya tak boleh betul dgn cerita ni sebab ni kenangan saya layan arwah mak tengok wayang dikala umur dia masatu 50 lebih 🥲",arwah mak ajak tengok cerita ni kt wayang kite layan dia tengok wayang cerita ni mak ckp cerita ni ada kene mengene dengan mak and dia kata tak ada orang tua nak tengok anak mereka pergi dulu dari mereka tapi takdir allah jemput arwah kakak saya dulu sebab kemalangan naik moto besar saya tak boleh betul dengan cerita ni sebab ni kenangan saya layan arwah mak tengok wayang dikala umur dia masatu 50 lebih,arwah mak ajak tengok cerita ni kt wayang kite layan dia tengok wayang cerita ni mak ckp cerita ni ada kene mengene dengan mak and dia kata tak ada orang tua nak tengok anak mereka pergi dulu dari mereka tapi takdir allah jemput arwah kakak saya dulu sebab kemalangan naik moto besar saya tak boleh betul dengan cerita ni sebab ni kenangan saya layan arwah mak tengok wayang dikala umur dia masatu 50 lebih,True,True,10,neutral,,{}
haii saya nak cari seller yg jual dessert/ bouquet/ any kuih for mother’s day today area btp rawang!! nak yg boleh cod sampai rumahh pls sbb kita student uum jauh dari rumahh tk boleh pick up..,haii saya nak cari seller yang jual dessert bouquet any kuih for mother's day today area btp rawang nak yang boleh cod sampai rumahh pls sbb kita student uum jauh dari rumahh tk boleh pick up,haii saya nak cari seller yang jual dessert bouquet any kuih for mother's day today area btp rawang nak yang boleh cod sampai rumahh pls sbb kita student uum jauh dari rumahh tk boleh pick up,True,True,5,neutral,,{}
"i respect perempuan yang diam-diam upgrade diri, bukan yang kuat compare hidup orang lain",i respect perempuan yang diam diam upgrade diri bukan yang kuat compare hidup orang lain,i respect perempuan yang diam diam upgrade diri bukan yang kuat compare hidup orang lain,True,True,4,neutral,,{}
💔💔🥹💔💔This Mothers Day Won’t Be The Same Without You Taylar. We Miss You So Much Every Second Of Our Day Is Short Without You. Love On Us From Heaven Baby And Have A Happy Mothers Day My Love,this mothers day won't be the same without you taylar we miss you so much every second of our day is short without you love on us from heaven baby and have a happy mothers day my love,this mothers day won't be the same without you taylar we miss you so much every second of our day is short without you love on us from heaven baby and have a happy mothers day my love,True,True,1,joy,love,"{""joy"": 2, ""love"": 1, ""sadness"": 1}"
"BRADER, nanti lepas you siap gosok. I nak pinjam boleh tak brader?.",brader nanti lepas you siap gosok i nak pinjam boleh tak brader,brader nanti lepas you siap gosok i nak pinjam boleh tak brader,True,True,3,neutral,,{}
bukan taknak jadi matang . tapi demi menghiburkan kawan i sanggup jadi gila .,bukan tak nak jadi matang tapi demi menghiburkan kawan i sanggup jadi gila,bukan tak nak jadi matang tapi demi menghiburkan kawan i sanggup jadi gila,True,True,3,neutral,,{}
"I think sekolah kat selangor je ade 5 rumah sukan ek, merah, biru, hijau, kuning & UNGU!",i think sekolah kat selangor je ade 5 rumah sukan ek merah biru hijau kuning ungu,i think sekolah kat selangor je ade 5 rumah sukan ek merah biru hijau kuning ungu,True,True,2,joy,,"{""joy"": 1}"
"ada 🥺 we’re sorry it took awhile but keep a lookout on the next few days! in the meantime, please check your DM, sorry awak 💙",ada we're sorry it took awhile but keep a lookout on the next few days in the meantime please check your dm sorry awak,ada we're sorry it took awhile but keep a lookout on the next few days in the meantime please check your dm sorry awak,True,True,1,neutral,,{}
"Semoga husband jenis bangun awal pagi, sebab i suka breakfast hunting ✨",semoga husband jenis bangun awal pagi sebab i suka breakfast hunting,semoga husband jenis bangun awal pagi sebab i suka breakfast hunting,True,True,1,neutral,,{}
"I dah kata dah, kalau nak body posture cantik macam Asyallie ni, memang kena rajinkan diri buat pilates. Tak payah nak tunggu nak kurus baru nak start.",i dah kata dah kalau nak body posture cantik macam asyallie ni memang kena rajinkan diri buat pilates tak payah nak tunggu nak kurus baru nak start,i dah kata dah kalau nak body posture cantik macam asyallie ni memang kena rajinkan diri buat pilates tak payah nak tunggu nak kurus baru nak start,True,True,7,joy,,"{""joy"": 1}"
"i boleh hadap semua, tapi jap bagi i makan dulu",i boleh hadap semua tapi jap bagi i makan dulu,i boleh hadap semua tapi jap bagi i makan dulu,True,True,3,neutral,,{}
From “makan face” to “game face” versi Ara ❤️😂😻,from makan face to game face versi ara,from makan face to game face versi ara,True,True,1,neutral,,{}
"Kepada Indian brother and sister yang tolong saya masa tayar pecah dalam hujan dekat lane kanan highway NKVE bawah flyover exit ke Subang pukul 8:45pm tadi, terima kasih banyak-banyak.",kepada indian brother and sister yang tolong saya masa tayar pecah dalam hujan dekat lane kanan highway nkve bawah flyover exit ke subang pukul 8 45pm tadi terima kasih banyak banyak,kepada indian brother and sister yang tolong saya masa tayar pecah dalam hujan dekat lane kanan highway nkve bawah flyover exit ke subang pukul 8 45pm tadi terima kasih banyak banyak,True,True,5,neutral,,{}
"date cancelled, cause bro has no art in small talk straight to a loser. 28 and idc.",date cancelled cause bro has no art in small talk straight to a loser 28 and idc,date cancelled cause bro has no art in small talk straight to a loser 28 and idc,True,True,1,neutral,,{}
To abang yang bagi me & my friends free coke not 1 but 3 semoga traffic light sentiasa hijau bang,to abang yang bagi me my friends free coke not 1 but 3 semoga traffic light sentiasa hijau bang,to abang yang bagi me my friends free coke not 1 but 3 semoga traffic light sentiasa hijau bang,True,True,2,joy,,"{""joy"": 1}"
"So far untuk birthday i bulan May ni, i dah claim—-",so far untuk birthday i bulan may ni i dah claim,so far untuk birthday i bulan may ni i dah claim,True,True,2,neutral,,{}
